meeting_id,user_id,status
750e8400-e29b-41d4-a716-446655440000,550e8400-e29b-41d4-a716-446655440000,true
750e8400-e29b-41d4-a716-446655440000,550e8400-e29b-41d4-a716-446655440001,null
750e8400-e29b-41d4-a716-446655440000,550e8400-e29b-41d4-a716-446655440002,true
750e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440001,true
750e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440000,null
750e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440003,false
750e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440004,true
750e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440000,true
750e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440004,null
750e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440002,true
750e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440000,true
750e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440004,true
