creator_id;title;date;start_time;end_time
2;Сбор по вопросу новых сотрудников;2026-02-15;9:00:00;11:00:00
1;Собрание директоров отделов;2026-04-15;11:00:00;12:00:00
1;Собрание директоров отделов;2026-04-15;10:00:00;12:00:00
1;Собрание директоров отделов;2026-04-17;10:00:00;12:00:00
1;Собрание директоров отделов;2026-04-15;11:00:00;13:00:00
1;Собрание директоров отделов;2026-04-19;10:00:00;12:00:00
1;Собрание директоров отделов;2026-04-16;12:00:00;14:00:00
1;Собрание директоров отделов;2026-04-16;10:00:00;12:00:00
1;Собрание директоров отделов;2026-04-15;10:00:00;12:00:00
1;Собрание директоров отделов;2026-04-14;10:00:00;12:00:00
